lsoa21,oa01,prop_oa01
E01009110,E00046255,1
E01009110,E00046254,1
E01009110,E00046206,1
E01009111,E00046197,1
E01009111,E00046190,1
E01009111,E00046200,1
E01009111,E00046210,1
E01009111,E00046199,1
E01009112,E00046215,1
E01009112,E00046213,1
E01009112,E00046208,1
E01009112,E00046191,1
E01009112,E00046193,1
E01009113,E00046207,1
E01009113,E00046217,1
E01009113,E00046204,1
E01009113,E00046211,1
E01009113,E00046209,1
E01009114,E00046205,1
E01009114,E00046192,1
E01009114,E00046214,1
E01009114,E00046216,1
E01009114,E00046218,1
E01009114,E00046219,1
E01009115,E00046195,1
E01009115,E00046220,1
E01009115,E00046222,1
E01009115,E00046194,1
E01009115,E00046221,1
E01009116,E00046224,1
E01009116,E00046229,1
E01009116,E00046228,1
E01009116,E00046233,1
E01009117,E00046226,1
E01009117,E00046236,1
E01009117,E00046196,1
E01009117,E00046231,1
E01009117,E00046234,1
E01009118,E00046225,1
E01009118,E00046201,1
E01009118,E00046237,1
E01009118,E00046242,1
E01009118,E00046189,1
E01009119,E00046223,1
E01009119,E00046245,1
E01009119,E00046239,1
E01009119,E00046227,1
E01009119,E00046238,1
E01009120,E00046230,1
E01009120,E00046240,1
E01009120,E00046244,1
E01009120,E00046232,1
E01009120,E00046235,1
E01009122,E00046271,1
E01009122,E00046340,1
E01009122,E00046261,1
E01009122,E00046279,1
E01009122,E00046273,1
E01009123,E00046285,1
E01009123,E00046265,1
E01009123,E00046287,1
E01009123,E00046300,1
E01009123,E00046289,1
E01009124,E00046295,1
E01009124,E00046292,1
E01009124,E00046288,1
E01009124,E00046291,1
E01009124,E00046290,1
E01009125,E00046298,1
E01009125,E00046266,1
E01009125,E00046293,1
E01009125,E00046296,1
E01009125,E00046299,1
E01009126,E00046297,1
E01009126,E00046294,1
E01009126,E00046302,1
E01009126,E00046301,1
E01009127,E00046310,1
E01009127,E00046303,1
E01009127,E00046307,1
E01009127,E00046305,1
E01009127,E00046308,1
E01009128,E00046312,1
E01009128,E00046311,1
E01009128,E00046304,1
E01009128,E00046306,1
E01009128,E00046309,1
E01009129,E00046319,1
E01009129,E00046325,1
E01009129,E00046315,1
E01009129,E00046316,1
E01009129,E00046321,1
E01009130,E00046322,1
E01009130,E00046313,1
E01009130,E00046329,1
E01009130,E00046335,1
E01009130,E00046317,1
E01009131,E00046326,1
E01009131,E00046320,1
E01009131,E00046314,1
E01009131,E00046318,1
E01009132,E00046338,1
E01009132,E00046339,1
E01009132,E00046333,1
E01009132,E00046327,1
E01009132,E00046324,1
E01009133,E00046334,1
E01009133,E00046328,1
E01009133,E00046260,1
E01009133,E00046332,1
E01009133,E00046323,1
E01009134,E00046336,1
E01009134,E00046337,1
E01009134,E00046331,1
E01009134,E00046341,1
E01009134,E00046262,1
E01009135,E00046268,1
E01009135,E00046263,1
E01009135,E00046267,1
E01009135,E00046277,1
E01009135,E00046330,1
